Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Squadra,Piede,Casella di gruppo
Tiro (31),1:16:23.133,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,digao,diego jr,nic,Parata,7,Noi,Dx,
Laterale (59),1:16:36.700,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,digao,diego jr,,,0,Loro,,
Integrazione portier (1),1:16:37.066,0:00:10.000,06/01/2025,Integrazione portier,bara,ricky,nic,digao,diego jr,,,,Loro,,
Palla recuperata (26),1:16:54.700,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,diego jr,zanna,zanna,,0,,,
Palla persa (31),1:16:59.033,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,diego jr,zanna,diego jr,Costruzione,3,,,
Palla recuperata (27),1:17:10.666,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,diego jr,zanna,nic,,0,,,
Palla persa (32),1:17:16.433,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,diego jr,zanna,ricky,,0,,,
Parata (3),1:17:21.866,0:00:10.000,06/01/2025,Parata,bara,ricky,nic,diego jr,zanna,,,,Noi,,
Laterale (60),1:17:41.433,0:00:07.000,06/01/2025,Laterale,bara,zanna,deba,diego jr,mattia,,,0,Loro,,
Laterale (61),1:17:57.500,0:00:07.000,06/01/2025,Laterale,bara,zanna,deba,diego jr,mattia,,,0,Noi,,
Tiro (32),1:18:16.900,0:00:07.000,06/01/2025,Tiro,bara,zanna,deba,diego jr,mattia,diego jr,Parata,9,Noi,Dx,
Tiro (33),1:18:18.033,0:00:07.000,06/01/2025,Tiro,bara,zanna,deba,diego jr,mattia,mattia,Fuori,2,Noi,Sx,
Fallo (8),1:19:18.966,0:00:04.000,06/01/2025,Fallo,bara,zanna,deba,diego jr,mattia,,,0,Loro,,
Punizione (8),1:19:36.433,0:00:06.000,06/01/2025,Punizione,bara,zanna,deba,diego jr,mattia,deba,,0,Noi,Dx,
Palla persa (33),1:19:50.433,0:00:10.000,06/01/2025,Palla persa,bara,zanna,deba,diego jr,mattia,diego jr,Costruzione,0,,,
Fallo (9),1:19:57.200,0:00:04.000,06/01/2025,Fallo,bara,zanna,deba,diego jr,mattia,diego jr,,0,Noi,,
Parata (4),1:20:20.900,0:00:10.000,06/01/2025,Parata,bara,digao,deba,diego jr,mattia,,,,Noi,,
Laterale (62),1:20:30.566,0:00:07.000,06/01/2025,Laterale,bara,digao,deba,diego jr,mattia,,,6,Loro,,
Palla recuperata (28),1:20:35.333,0:00:10.000,06/01/2025,Palla recuperata,bara,digao,deba,diego jr,mattia,deba,Fuori,9,,,
Laterale (63),1:20:41.966,0:00:07.000,06/01/2025,Laterale,bara,digao,deba,diego jr,mattia,,,0,Noi,,
Palla persa (34),1:20:55.266,0:00:10.000,06/01/2025,Palla persa,bara,digao,deba,diego jr,mattia,mattia,Ripartenza,2,,,
2v2 (1),1:20:56.300,0:00:10.000,06/01/2025,,bara,digao,deba,diego jr,mattia,,No Gol,,Loro,,2v2
Palla recuperata (29),1:20:57.966,0:00:10.000,06/01/2025,Palla recuperata,bara,digao,deba,diego jr,mattia,mattia,Fuori,0,,,
Laterale (64),1:21:21.900,0:00:07.000,06/01/2025,Laterale,bara,digao,deba,diego jr,mattia,,,4,Loro,,
Tiro (34),1:21:25.833,0:00:07.000,06/01/2025,Tiro,bara,digao,deba,diego jr,mattia,,Parata,4,Loro,Dx,
Angolo (11),1:21:46.333,0:00:08.000,06/01/2025,Angolo,bara,digao,deba,diego jr,mattia,,,,Loro,,
Palla recuperata (30),1:21:59.866,0:00:10.000,06/01/2025,Palla recuperata,bara,digao,deba,diego jr,mattia,mattia,Costruzione,0,,,
Palla persa (35),1:22:15.266,0:00:10.000,06/01/2025,Palla persa,bara,digao,deba,diego jr,mattia,digao,Ripartenza,0,,,
Fallo (10),1:22:17.000,0:00:04.000,06/01/2025,Fallo,bara,digao,deba,diego jr,mattia,digao,,,Loro,,
Punizione (9),1:22:59.533,0:00:06.000,06/01/2025,Punizione,bara,digao,deba,diego jr,mattia,deba,Parata,2,,Dx,
Laterale (65),1:23:08.333,0:00:07.000,06/01/2025,Laterale,bara,digao,deba,diego jr,mattia,,,0,Noi,,
Tiro (35),1:23:21.233,0:00:07.000,06/01/2025,Tiro,bara,digao,deba,diego jr,mattia,mattia,Parata,6,Noi,Sx,
Angolo (12),1:23:49.266,0:00:08.000,06/01/2025,Angolo,bara,digao,deba,diego jr,mattia,,,,Noi,,
Tiro (36),1:23:54.166,0:00:07.000,06/01/2025,Tiro,bara,digao,deba,diego jr,mattia,mattia,Ribattuto,7,Noi,,
Angolo (13),1:24:13.233,0:00:08.000,06/01/2025,Angolo,bara,digao,deba,diego jr,mattia,,,,Noi,,
Tiro (37),1:24:14.800,0:00:07.000,06/01/2025,Tiro,bara,digao,deba,diego jr,mattia,mattia,Fuori,5,Noi,Sx,
Palla recuperata (31),1:24:25.966,0:00:10.000,06/01/2025,Palla recuperata,bara,digao,deba,diego jr,mattia,deba,,5,,,
Tiro (38),1:24:44.366,0:00:07.000,06/01/2025,Tiro,bara,digao,deba,diego jr,mattia,,Ribattuto,5,Loro,Sx,
Laterale (66),1:24:52.100,0:00:07.000,06/01/2025,Laterale,bara,digao,deba,scanta,mattia,,,,Loro,,
Palla recuperata (32),1:25:03.233,0:00:10.000,06/01/2025,Palla recuperata,bara,digao,deba,scanta,mattia,mattia,Costruzione,0,,,
Angolo (14),1:25:03.866,0:00:08.000,06/01/2025,Angolo,bara,digao,deba,scanta,mattia,,,,Loro,,
Palla persa (36),1:25:17.566,0:00:10.000,06/01/2025,Palla persa,bara,digao,deba,scanta,mattia,mattia,Costruzione,0,,,
Tiro (39),1:25:31.866,0:00:07.000,06/01/2025,Tiro,bara,digao,deba,scanta,mattia,,Fuori,7,Loro,Sx,
Timeout (3),1:25:47.800,0:00:10.000,06/01/2025,Timeout,bara,digao,deba,scanta,mattia,,,,Noi,,
Palla persa (37),1:27:11.933,0:00:10.000,06/01/2025,Palla persa,bara,diego jr,deba,zanna,ricky,diego jr,,2,,,
Fallo (11),1:27:16.333,0:00:04.000,06/01/2025,Fallo,bara,diego jr,deba,zanna,ricky,diego jr,,2,Noi,,
Laterale (67),1:28:16.033,0:00:07.000,06/01/2025,Laterale,bara,diego jr,deba,zanna,ricky,,,0,Loro,,
Palla recuperata (33),1:28:20.166,0:00:10.000,06/01/2025,Palla recuperata,bara,diego jr,deba,zanna,ricky,deba,Fuori,2,,,
Laterale (68),1:28:25.466,0:00:07.000,06/01/2025,Laterale,bara,diego jr,deba,zanna,ricky,,,0,Loro,,
Palla recuperata (34),1:28:36.266,0:00:10.000,06/01/2025,Palla recuperata,bara,diego jr,deba,zanna,ricky,ricky,Tiro,0,,,
Tiro (40),1:28:42.333,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,zanna,ricky,ricky,Fuori,2,Noi,Dx,
Palla recuperata (35),1:29:03.333,0:00:10.000,06/01/2025,Palla recuperata,bara,diego jr,deba,zanna,ricky,zanna,Tiro,5,,,
Tiro (41),1:29:08.700,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,zanna,ricky,zanna,Parata,5,Noi,Sx,
Tiro (42),1:29:13.666,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,zanna,ricky,zanna,Ribattuto,4,Noi,Sx,
2v1 (1),1:29:17.600,0:00:10.000,06/01/2025,,bara,diego jr,deba,zanna,ricky,,No Gol,,Loro,,2v1
5v4 (1),1:29:38.066,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,zanna,ricky,erick,,,Noi,,
Laterale (69),1:30:18.566,0:00:07.000,06/01/2025,Laterale,bara,diego jr,deba,zanna,ricky,,,0,Noi,,
5v4 (2),1:30:25.833,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,zanna,ricky,,,,Noi,,
Tiro (43),1:30:33.900,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,zanna,ricky,zanna,Parata,4,Noi,Dx,
Tiro (44),1:30:34.600,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,zanna,ricky,,Fuori,0,Loro,,
Lancio (4),1:30:50.733,0:00:10.000,06/01/2025,Lancio,bara,diego jr,deba,zanna,ricky,,Intercetto,,Noi,,
Laterale (70),1:31:00.900,0:00:07.000,06/01/2025,Laterale,bara,diego jr,deba,zanna,ricky,,,7,Noi,,
5v4 (3),1:31:06.300,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,zanna,ricky,,,,Noi,,
Tiro (45),1:31:11.700,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,zanna,ricky,,Fuori,0,Loro,,
Laterale (71),1:31:34.100,0:00:07.000,06/01/2025,Laterale,bara,diego jr,deba,zanna,ricky,,,1,Noi,,
5v4 (5),1:31:47.833,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,ricky,mattia,,,,Noi,,
Tiro (46),1:31:59.233,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,ricky,mattia,diego jr,Parata,8,Noi,Sx,
5v4 (4),1:32:10.500,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,ricky,mattia,,,,Noi,,
Tiro (47),1:32:15.466,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,ricky,mattia,ricky,Ribattuto,4,Noi,Dx,
Laterale (72),1:32:21.600,0:00:07.000,06/01/2025,Laterale,bara,diego jr,deba,ricky,mattia,,,7,Noi,,
5v4 (6),1:32:25.766,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,ricky,mattia,,,,,,
Tiro (48),1:32:31.466,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,ricky,mattia,mattia,Ribattuto,4,Noi,Sx,
Tiro (49),1:32:34.400,0:00:07.000,06/01/2025,Tiro,bara,diego jr,deba,ricky,mattia,,Ribattuto,0,Loro,Sx,
5v4 (7),1:32:42.400,0:00:10.000,06/01/2025,5v4,bara,diego jr,deba,ricky,mattia,,,,Noi,,
Palla persa (38),1:33:04.266,0:00:10.000,06/01/2025,Palla persa,bara,diego jr,deba,ricky,mattia,ricky,Ripartenza,0,,,
1v1 (3),1:33:12.800,0:00:10.000,06/01/2025,,bara,diego jr,deba,ricky,mattia,,Gol,,Loro,,1v1
Gol (5),1:33:14.066,0:00:07.000,06/01/2025,Gol,bara,diego jr,deba,ricky,mattia,,,5,Loro,Sx,
Inizio (6),1:34:24.833,0:00:10.000,06/01/2025,Inizio,bara,deba,ricky,mattia,scanta,,,,,,
5v4 (8),1:34:28.366,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
Tiro (50),1:34:53.766,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,mattia,Parata,9,Noi,Sx,
5v4 (9),1:35:04.700,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
5v4 (10),1:35:28.866,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
Tiro (51),1:35:36.166,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,erick,Ribattuto,6,Noi,Dx,
Tiro (52),1:35:38.500,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,,Gol,0,Loro,Sx,
Gol (6),1:35:43.266,0:00:07.000,06/01/2025,Gol,bara,deba,ricky,mattia,scanta,,,0,Loro,Sx,
5v4 (11),1:36:06.633,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
Laterale (73),1:36:20.300,0:00:07.000,06/01/2025,Laterale,bara,deba,ricky,mattia,scanta,,,6,Noi,,
Tiro (53),1:36:26.166,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,,Fuori,0,Noi,Dx,
Tiro (54),1:36:44.333,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,mattia,Fuori,5,Noi,Sx,
Timeout (4),1:36:55.200,0:00:10.000,06/01/2025,Timeout,bara,deba,ricky,mattia,scanta,,,,Loro,,
Palla recuperata (36),1:38:08.500,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,ricky,mattia,scanta,deba,Fuori,0,,,
Laterale (74),1:38:11.133,0:00:07.000,06/01/2025,Laterale,bara,deba,ricky,mattia,scanta,,,0,Loro,,
Tiro (55),1:38:26.300,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,scanta,Fuori,7,Noi,Sx,
5v4 (12),1:38:51.033,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
Palla persa (39),1:39:01.833,0:00:10.000,06/01/2025,Palla persa,bara,deba,ricky,mattia,scanta,mattia,Tiro,0,,,
Tiro (56),1:39:05.133,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,,Ribattuto,0,Loro,Dx,
Laterale (75),1:39:11.366,0:00:07.000,06/01/2025,Laterale,bara,deba,ricky,mattia,scanta,,,,Loro,,
5v4 (13),1:39:17.533,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
Tiro (57),1:39:28.733,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,ricky,Ribattuto,4,Noi,Dx,
5v4 (14),1:39:55.966,0:00:10.000,06/01/2025,5v4,bara,deba,ricky,mattia,scanta,,,,Noi,,
Palla persa (40),1:39:59.933,0:00:10.000,06/01/2025,Palla persa,bara,deba,ricky,mattia,scanta,ricky,Tiro,0,,,
Tiro (58),1:40:06.733,0:00:07.000,06/01/2025,Tiro,bara,deba,ricky,mattia,scanta,,Fuori,1,Loro,Dx,
5v4 (15),1:40:20.966,0:00:10.000,06/01/2025,5v4,bara,mattia,scanta,deba,digao,,,,Noi,,
Angolo (15),1:40:31.700,0:00:08.000,06/01/2025,Angolo,bara,mattia,scanta,deba,digao,,,,Noi,,
Tiro (59),1:40:34.200,0:00:07.000,06/01/2025,Tiro,bara,mattia,scanta,deba,digao,mattia,Ribattuto,9,Noi,Sx,
Angolo (16),1:40:49.833,0:00:08.000,06/01/2025,Angolo,bara,mattia,scanta,deba,digao,,,,Noi,,
5v4 (16),1:40:54.233,0:00:10.000,06/01/2025,5v4,bara,mattia,scanta,deba,digao,,,,Noi,,
Tiro (60),1:41:04.533,0:00:07.000,06/01/2025,Tiro,bara,mattia,scanta,deba,digao,mattia,Fuori,6,Noi,Sx,
Laterale (76),1:41:25.833,0:00:07.000,06/01/2025,Laterale,bara,mattia,scanta,deba,digao,,,0,Noi,,
5v4 (17),1:41:34.266,0:00:10.000,06/01/2025,5v4,bara,mattia,scanta,deba,digao,,,,Noi,,
Palla persa (41),1:41:44.500,0:00:10.000,06/01/2025,Palla persa,bara,mattia,scanta,deba,digao,erick,Fuori,0,,,
5v4 (18),1:42:00.000,0:00:10.000,06/01/2025,5v4,bara,mattia,scanta,deba,digao,,,,Noi,,
Fine partita (1),1:42:04.133,0:00:10.000,06/01/2025,Fine partita,bara,mattia,scanta,deba,digao,,,,,,
