Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Squadra,Field Position,Esito,Piede,Chi,Casella di gruppo
Tiro (47),0:48:38.000,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Noi,5,Fuori,Sx,diego jr,
Laterale (68),0:49:05.160,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,0,,,,
Palla persa (12),0:49:18.760,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,fabri,mattia,ricky,Noi,0,Tiro,,ricky,
Tiro (48),0:49:22.160,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,2,Parata,Sx,,
Laterale (69),0:49:26.120,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,7,,,,
Palla persa (13),0:49:36.720,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,fabri,mattia,ricky,,0,Costruzione,,diego jr,
Tiro (49),0:49:50.360,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,4,Fuori,Dx,,
Laterale (70),0:50:06.040,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,0,,,,
Palla recuperata (10),0:50:17.440,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,fabri,mattia,ricky,,4,Costruzione,,mattia,
Laterale (71),0:50:24.200,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Noi,4,,,,
Tiro (50),0:50:27.960,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Noi,6,Fuori,Sx,diego jr,
Angolo (16),0:50:37.520,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,fabri,mattia,ricky,Noi,,,,,
Tiro (51),0:50:39.960,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Noi,6,Fuori,Dx,fabri,
Palla recuperata (11),0:50:57.400,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,fabri,mattia,ricky,,1,Fuori,,mattia,
Laterale (72),0:51:12.600,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,nico estratti,Noi,0,,,,
Integrazione portier (7),0:51:12.880,0:00:10.000,23/01/2025,Integrazione portier,giovi,diego jr,fabri,mattia,nico estratti,Noi,,Fuori,,,
Laterale (73),0:51:22.960,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,nico estratti,Noi,0,,,,
Palla persa (14),0:51:38.000,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,fabri,mattia,nico estratti,,0,Ripartenza,,diego jr,
Angolo (17),0:51:38.880,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,fabri,mattia,nico estratti,Noi,,,,,
2v2 (3),0:51:40.760,0:00:10.000,23/01/2025,,giovi,diego jr,fabri,nico estratti,azza,,,No Gol,,,2v2
Laterale (74),0:51:50.800,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,nico estratti,azza,Loro,1,,,,
Laterale (75),0:52:06.040,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,nico estratti,azza,Noi,0,,,,
Laterale (76),0:52:13.760,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,nico estratti,azza,Loro,1,,,,
Parata (2),0:52:25.680,0:00:10.000,23/01/2025,Parata,giovi,diego jr,fabri,nico estratti,azza,Noi,,,,,
Laterale (77),0:52:34.680,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,nico estratti,azza,Loro,0,,,,
Lancio (13),0:52:49.920,0:00:10.000,23/01/2025,Lancio,giovi,diego jr,fabri,zanna,azza,,,,,,
Fallo (8),0:53:13.720,0:00:04.000,23/01/2025,Fallo,giovi,diego jr,fabri,zanna,azza,Noi,0,,,zanna,
Laterale (78),0:53:26.280,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,zanna,Loro,0,,,,
Tiro (52),0:53:42.360,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,azza,zanna,Loro,6,Fuori,Dx,,
Lancio (14),0:53:52.240,0:00:10.000,23/01/2025,Lancio,giovi,diego jr,fabri,azza,zanna,Noi,,,,,
Laterale (79),0:54:02.840,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,zanna,Loro,3,,,,
Palla recuperata (12),0:54:18.760,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,fabri,azza,zanna,,5,Fuori,,fabri,
Laterale (80),0:54:23.760,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,zanna,Loro,4,,,,
Laterale (81),0:54:33.760,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,zanna,Loro,4,,,,
Tiro (53),0:54:38.520,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,azza,zanna,Loro,4,Ribattuto,Sx,,
Laterale (82),0:54:45.120,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,zanna,Loro,4,,,,
Palla recuperata (13),0:54:56.560,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,fabri,azza,zanna,,5,Ripartenza,,fabri,
3v2 (2),0:54:58.440,0:00:10.000,23/01/2025,,giovi,diego jr,fabri,azza,zanna,,,No Gol,,,3v2
Palla persa (15),0:55:02.760,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,fabri,azza,zanna,,0,Tiro,,diego jr,
Tiro (54),0:55:08.800,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,azza,zanna,Loro,2,Ribattuto,Sx,,
Laterale (83),0:55:17.560,0:00:07.000,23/01/2025,Laterale,giovi,nic,fabri,azza,zanna,Loro,0,,,,
Laterale (84),0:55:33.080,0:00:07.000,23/01/2025,Laterale,giovi,nic,digao,azza,zanna,Noi,0,,,,
Laterale (85),0:55:42.440,0:00:07.000,23/01/2025,Laterale,giovi,nic,digao,azza,zanna,Loro,3,,,,
Palla recuperata (14),0:55:57.920,0:00:10.000,23/01/2025,Palla recuperata,giovi,azza,zanna,digao,nic,,6,Fuori,,zanna,
Lancio (15),0:56:00.720,0:00:10.000,23/01/2025,Lancio,giovi,azza,zanna,digao,nic,Noi,,,,,
Tiro (55),0:56:05.960,0:00:07.000,23/01/2025,Tiro,giovi,azza,zanna,digao,nic,Noi,5,Fuori,Sx,nic,
Palla recuperata (15),0:56:14.960,0:00:10.000,23/01/2025,Palla recuperata,giovi,azza,zanna,digao,nic,,8,Fuori,,zanna,
Lancio (16),0:56:33.760,0:00:10.000,23/01/2025,Lancio,giovi,azza,zanna,digao,nic,Noi,,,,,
Laterale (86),0:56:41.760,0:00:07.000,23/01/2025,Laterale,giovi,azza,zanna,digao,nic,Loro,0,,,,
Integrazione portier (8),0:56:45.000,0:00:10.000,23/01/2025,Integrazione portier,giovi,azza,zanna,digao,nic,Loro,,,,,
Palla recuperata (16),0:57:02.280,0:00:10.000,23/01/2025,Palla recuperata,giovi,azza,zanna,digao,nic,,2,Costruzione,,zanna,
Laterale (87),0:57:20.280,0:00:07.000,23/01/2025,Laterale,giovi,azza,zanna,digao,nic,Loro,0,,,,
Integrazione portier (9),0:57:20.520,0:00:10.000,23/01/2025,Integrazione portier,giovi,azza,zanna,digao,nic,Loro,,,,,
Fallo (9),0:57:32.520,0:00:04.000,23/01/2025,Fallo,giovi,azza,zanna,digao,nic,Noi,4,,,digao,
Punizione (8),0:58:52.760,0:00:06.000,23/01/2025,Punizione,giovi,zanna,digao,nic,erick,Loro,4,Parata,Sx,,
Lancio (17),0:59:06.320,0:00:10.000,23/01/2025,Lancio,giovi,zanna,digao,nic,erick,Noi,,Fuori,,,
Tiro (56),0:59:29.560,0:00:07.000,23/01/2025,Tiro,giovi,zanna,digao,nic,erick,Loro,9,Parata,Sx,,
Angolo (18),0:59:50.760,0:00:08.000,23/01/2025,Angolo,giovi,zanna,digao,nic,erick,Loro,,,,,
Laterale (88),0:59:58.200,0:00:07.000,23/01/2025,Laterale,giovi,zanna,nic,erick,fabri,Noi,0,,,,
Laterale (89),1:00:10.440,0:00:07.000,23/01/2025,Laterale,giovi,zanna,nic,erick,fabri,Loro,0,,,,
Palla recuperata (17),1:00:33.040,0:00:10.000,23/01/2025,Palla recuperata,giovi,zanna,nic,erick,fabri,,5,Fuori,,nic,
Laterale (90),1:00:40.680,0:00:07.000,23/01/2025,Laterale,giovi,zanna,nic,erick,fabri,Loro,3,,,,
Palla recuperata (18),1:00:49.160,0:00:10.000,23/01/2025,Palla recuperata,giovi,zanna,nic,erick,fabri,,5,Fuori,,nic,
Laterale (91),1:01:01.040,0:00:07.000,23/01/2025,Laterale,giovi,zanna,nic,erick,fabri,Noi,0,,,,
Palla persa (16),1:01:27.080,0:00:10.000,23/01/2025,Palla persa,giovi,zanna,nic,erick,fabri,,0,,,erick,
Fallo (10),1:01:33.000,0:00:04.000,23/01/2025,Fallo,giovi,zanna,nic,erick,fabri,Noi,0,,,erick,
Palla recuperata (19),1:01:40.600,0:00:10.000,23/01/2025,Palla recuperata,giovi,zanna,nic,erick,fabri,,5,,,zanna,
Fallo (11),1:01:41.480,0:00:04.000,23/01/2025,Fallo,giovi,zanna,nic,erick,fabri,Noi,2,,,erick,
Punizione (9),1:02:04.600,0:00:06.000,23/01/2025,Punizione,giovi,zanna,nic,erick,fabri,Loro,2,Fuori,Dx,,
Lancio (18),1:02:27.280,0:00:10.000,23/01/2025,Lancio,giovi,zanna,diego jr,erick,fabri,Noi,,Intercetto,,,
Fallo (12),1:02:42.680,0:00:04.000,23/01/2025,Fallo,giovi,zanna,diego jr,erick,fabri,Loro,0,,,,
Palla recuperata (20),1:03:07.840,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,ricky,mattia,fabri,,5,,,fabri,
Palla persa (17),1:03:10.160,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,ricky,mattia,fabri,,5,Tiro,,mattia,
Tiro (57),1:03:15.000,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,ricky,mattia,fabri,Loro,5,Fuori,Dx,,
Laterale (92),1:03:32.720,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Loro,0,,,,
Laterale (93),1:03:46.560,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Noi,0,,,,
Tiro (58),1:03:53.440,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,ricky,mattia,fabri,Noi,9,Fuori,Sx,mattia,
Palla recuperata (21),1:04:08.000,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,ricky,mattia,fabri,,0,Fuori,,mattia,
Laterale (94),1:04:17.560,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Loro,0,,,,
Palla persa (18),1:04:44.240,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,ricky,mattia,fabri,,7,,,ricky,
Palla recuperata (22),1:04:44.880,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,ricky,mattia,fabri,,4,Ripartenza,,ricky,
3v2 (3),1:04:45.120,0:00:10.000,23/01/2025,,giovi,diego jr,ricky,mattia,fabri,,,No Gol,,,3v2
Tiro (59),1:04:47.920,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,ricky,mattia,fabri,Noi,8,Parata,Sx,fabri,
Palla recuperata (23),1:04:57.520,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,ricky,mattia,fabri,,0,,,mattia,
Palla persa (19),1:05:00.640,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,ricky,mattia,fabri,,5,Fuori,,diego jr,
Laterale (95),1:05:08.560,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Loro,0,,,,
Palla recuperata (24),1:05:18.360,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,ricky,mattia,fabri,,0,Fuori,,mattia,
Laterale (96),1:05:24.320,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Loro,4,,,,
Tiro (60),1:05:28.880,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,ricky,mattia,fabri,Loro,5,Ribattuto,Sx,,
Laterale (97),1:05:36.600,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Noi,0,,,,
Laterale (98),1:05:45.560,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Loro,0,,,,
Palla recuperata (25),1:05:55.800,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,ricky,mattia,fabri,,5,Fuori,,mattia,
Laterale (99),1:06:03.000,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,mattia,fabri,Loro,4,,,,
Lancio (19),1:06:39.880,0:00:10.000,23/01/2025,Lancio,giovi,diego jr,ricky,mattia,fabri,Noi,,Fuori,,,
Palla recuperata (26),1:06:51.360,0:00:10.000,23/01/2025,Palla recuperata,giovi,fabri,nico estratti,ricky,diego jr,,1,Fuori,,ricky,
Laterale (100),1:06:57.240,0:00:07.000,23/01/2025,Laterale,giovi,fabri,nico estratti,ricky,diego jr,Loro,0,,,,
Palla recuperata (27),1:07:08.920,0:00:10.000,23/01/2025,Palla recuperata,giovi,fabri,nico estratti,ricky,diego jr,,0,,,fabri,
Laterale (101),1:07:15.720,0:00:07.000,23/01/2025,Laterale,giovi,fabri,nico estratti,ricky,diego jr,Noi,6,,,,
Tiro (61),1:07:18.840,0:00:07.000,23/01/2025,Tiro,giovi,fabri,nico estratti,ricky,diego jr,Noi,1,Ribattuto,Sx,nico estratti,
Tiro (62),1:07:36.640,0:00:07.000,23/01/2025,Tiro,giovi,digao,nico estratti,ricky,diego jr,Noi,4,Parata,Sx,diego jr,
Angolo (19),1:07:52.840,0:00:08.000,23/01/2025,Angolo,giovi,digao,nico estratti,azza,diego jr,Noi,,,,,
Laterale (102),1:08:01.200,0:00:07.000,23/01/2025,Laterale,giovi,digao,nico estratti,azza,diego jr,Noi,7,,,,
Tiro (63),1:08:03.520,0:00:07.000,23/01/2025,Tiro,giovi,digao,nico estratti,azza,diego jr,Noi,1,Ribattuto,Sx,nico estratti,
Laterale (103),1:08:19.400,0:00:07.000,23/01/2025,Laterale,giovi,digao,nico estratti,azza,diego jr,Noi,0,,,,
Laterale (104),1:08:27.360,0:00:07.000,23/01/2025,Laterale,giovi,digao,nico estratti,azza,diego jr,Noi,4,,,,
Laterale (105),1:08:36.880,0:00:07.000,23/01/2025,Laterale,giovi,digao,zanna,azza,diego jr,Noi,1,,,,
Laterale (106),1:08:46.720,0:00:07.000,23/01/2025,Laterale,giovi,digao,diego jr,azza,zanna,Noi,4,,,,
Tiro (64),1:08:53.960,0:00:07.000,23/01/2025,Tiro,giovi,digao,diego jr,azza,zanna,Noi,2,Parata,Dx,digao,
2v1 (1),1:09:05.120,0:00:10.000,23/01/2025,,giovi,digao,diego jr,azza,zanna,Noi,,No Gol,,,2v1
Lancio (20),1:09:19.080,0:00:10.000,23/01/2025,Lancio,giovi,digao,nic,azza,zanna,Noi,,Intercetto,,,
Laterale (107),1:09:26.880,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Loro,0,,,,
Parata (3),1:09:33.600,0:00:10.000,23/01/2025,Parata,giovi,digao,azza,zanna,nic,,,,,,
Laterale (108),1:10:53.160,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Loro,3,,,,
Tiro (65),1:11:03.480,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Loro,3,Ribattuto,Dx,,
Laterale (109),1:11:15.440,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Loro,4,,,,
Tiro (67),1:11:20.680,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Loro,4,Fuori,Dx,,
Tiro (66),1:11:20.800,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Loro,8,Parata,Sx,,
Lancio (21),1:11:37.600,0:00:10.000,23/01/2025,Lancio,giovi,digao,azza,zanna,nic,Noi,,,,,
Laterale (110),1:11:50.200,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Loro,0,,,,
Integrazione portier (10),1:11:55.680,0:00:10.000,23/01/2025,Integrazione portier,giovi,digao,azza,zanna,nic,Loro,,,,,
Laterale (111),1:12:14.080,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Noi,0,,,,
Palla recuperata (28),1:12:26.880,0:00:10.000,23/01/2025,Palla recuperata,giovi,digao,azza,zanna,nic,,5,Tiro,,digao,
Tiro (68),1:12:32.360,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Noi,,Parata,,digao,
Angolo (20),1:12:36.000,0:00:08.000,23/01/2025,Angolo,giovi,digao,azza,zanna,nic,Noi,,,,,
Laterale (112),1:12:38.760,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Noi,6,,,,
Tiro (69),1:12:42.520,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Noi,6,Ribattuto,Dx,digao,
Angolo (21),1:13:00.040,0:00:08.000,23/01/2025,Angolo,giovi,digao,azza,zanna,nic,Noi,,,,,
Tiro (70),1:13:01.800,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Noi,8,Gol,Sx,nic,
Gol (3),1:13:01.800,0:00:07.000,23/01/2025,Gol,giovi,digao,azza,zanna,nic,Noi,8,,Sx,nic,
Inizio avversario (4),1:13:33.560,0:00:10.000,23/01/2025,Inizio avversario,giovi,digao,azza,zanna,nic,,,,,,
5v4 (1),1:13:35.360,0:00:10.000,23/01/2025,5v4,giovi,digao,azza,zanna,nic,Loro,,,,,
Palla recuperata (29),1:13:47.120,0:00:10.000,23/01/2025,Palla recuperata,giovi,digao,azza,zanna,nic,,8,Fuori,,azza,
Laterale (113),1:13:51.040,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Loro,4,,,,
5v4 (2),1:13:54.800,0:00:10.000,23/01/2025,5v4,giovi,digao,azza,zanna,nic,Loro,,,,,
Tiro (71),1:14:02.840,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Loro,5,Ribattuto,,,
Laterale (114),1:14:06.240,0:00:07.000,23/01/2025,Laterale,giovi,digao,azza,zanna,nic,Loro,4,,,,
5v4 (3),1:14:08.920,0:00:10.000,23/01/2025,5v4,giovi,digao,azza,zanna,nic,,,,,,
5v4 (4),1:14:47.760,0:00:10.000,23/01/2025,5v4,giovi,digao,azza,zanna,nic,,,,,,
Tiro (72),1:15:02.280,0:00:07.000,23/01/2025,Tiro,giovi,digao,azza,zanna,nic,Noi,0,Parata,Dx,nic,
Angolo (22),1:15:25.720,0:00:08.000,23/01/2025,Angolo,giovi,digao,fabri,zanna,nic,Noi,,,,,
Tiro (73),1:15:27.720,0:00:07.000,23/01/2025,Tiro,giovi,digao,fabri,zanna,nic,Noi,6,Ribattuto,Dx,digao,
Laterale (115),1:15:36.280,0:00:07.000,23/01/2025,Laterale,giovi,digao,fabri,zanna,nic,Noi,6,,,,
Tiro (74),1:16:09.680,0:00:07.000,23/01/2025,Tiro,giovi,digao,fabri,ricky,nic,Noi,5,Fuori,Sx,nic,
Lancio (22),1:16:40.160,0:00:10.000,23/01/2025,Lancio,giovi,digao,azza,diego jr,ricky,Noi,,,,,
Tiro (75),1:16:51.880,0:00:07.000,23/01/2025,Tiro,giovi,azza,ricky,digao,diego jr,Noi,8,Parata,Sx,diego jr,
Angolo (23),1:17:06.840,0:00:08.000,23/01/2025,Angolo,giovi,azza,ricky,nico estratti,diego jr,Noi,,,,,
Palla recuperata (30),1:17:11.280,0:00:10.000,23/01/2025,Palla recuperata,giovi,azza,ricky,nico estratti,diego jr,,0,Fuori,,ricky,
Laterale (116),1:17:21.160,0:00:07.000,23/01/2025,Laterale,giovi,azza,ricky,nico estratti,diego jr,Loro,3,,,,
5v4 (5),1:17:22.520,0:00:10.000,23/01/2025,5v4,giovi,azza,ricky,nico estratti,diego jr,Loro,,,,,
Palla recuperata (31),1:17:37.920,0:00:10.000,23/01/2025,Palla recuperata,giovi,azza,ricky,nico estratti,diego jr,,6,Fuori,,azza,
Laterale (117),1:17:45.800,0:00:07.000,23/01/2025,Laterale,giovi,azza,ricky,nico estratti,diego jr,Loro,6,,,,
5v4 (6),1:17:48.480,0:00:10.000,23/01/2025,5v4,giovi,azza,ricky,nico estratti,diego jr,Loro,,,,,
Tiro (76),1:17:49.840,0:00:07.000,23/01/2025,Tiro,giovi,azza,ricky,nico estratti,diego jr,Loro,7,Fuori,Dx,,
Lancio (23),1:18:01.520,0:00:10.000,23/01/2025,Lancio,giovi,azza,ricky,nico estratti,diego jr,Noi,,Intercetto,,,
5v4 (7),1:18:11.200,0:00:10.000,23/01/2025,5v4,giovi,azza,ricky,digao,diego jr,,,,,,
Laterale (118),1:19:52.120,0:00:07.000,23/01/2025,Laterale,giovi,ricky,digao,diego jr,fabri,Noi,0,,,,
Laterale (119),1:20:06.600,0:00:07.000,23/01/2025,Laterale,giovi,ricky,digao,diego jr,fabri,Loro,0,,,,
5v4 (8),1:20:11.120,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,Loro,,,,,
Palla recuperata (32),1:20:24.360,0:00:10.000,23/01/2025,Palla recuperata,giovi,ricky,digao,diego jr,azza,,5,Tiro,,diego jr,
Tiro (77),1:20:27.320,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Noi,0,Gol,Dx,diego jr,
Gol (4),1:20:28.400,0:00:07.000,23/01/2025,Gol,giovi,ricky,digao,diego jr,azza,Noi,0,,Dx,diego jr,
Inizio avversario (5),1:20:49.760,0:00:10.000,23/01/2025,Inizio avversario,giovi,ricky,digao,diego jr,azza,,,,,,
5v4 (9),1:20:53.840,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,Loro,,,,,
Tiro (78),1:21:15.160,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Loro,6,Ribattuto,Sx,,
Laterale (120),1:21:30.800,0:00:07.000,23/01/2025,Laterale,giovi,ricky,digao,diego jr,azza,Loro,3,,,,
5v4 (10),1:21:32.000,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,,,,,,
Tiro (79),1:21:42.840,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Loro,9,Ribattuto,Sx,,
Palla persa (20),1:21:52.520,0:00:10.000,23/01/2025,Palla persa,giovi,ricky,digao,diego jr,azza,,0,Costruzione,,diego jr,
5v4 (11),1:21:58.880,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,,,,,,
Laterale (121),1:22:09.040,0:00:07.000,23/01/2025,Laterale,giovi,ricky,digao,diego jr,azza,Loro,3,,,,
5v4 (12),1:22:14.000,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,Loro,,,,,
Palla recuperata (33),1:22:26.920,0:00:10.000,23/01/2025,Palla recuperata,giovi,ricky,digao,diego jr,azza,,8,Fuori,,digao,
Laterale (122),1:22:36.600,0:00:07.000,23/01/2025,Laterale,giovi,ricky,digao,diego jr,azza,Loro,3,,,,
5v4 (13),1:22:40.200,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,,,,,,
Tiro (80),1:22:44.120,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Loro,7,Parata,Dx,,
Angolo (24),1:22:52.400,0:00:08.000,23/01/2025,Angolo,giovi,ricky,digao,diego jr,azza,Loro,,,,,
5v4 (14),1:22:53.320,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,fabri,,,,,,
Tiro (81),1:23:00.080,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Noi,0,Gol,Sx,diego jr,
Palla recuperata (34),1:23:00.320,0:00:10.000,23/01/2025,Palla recuperata,giovi,ricky,digao,diego jr,azza,,0,Tiro,,ricky,
Gol (5),1:23:03.240,0:00:07.000,23/01/2025,Gol,giovi,ricky,digao,diego jr,azza,Noi,0,,Sx,diego jr,
Inizio avversario (6),1:23:28.600,0:00:10.000,23/01/2025,Inizio avversario,giovi,ricky,digao,diego jr,azza,,,,,,
5v4 (15),1:23:33.920,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,,,,,,
Tiro (82),1:23:41.200,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Noi,1,Fuori,Sx,,
5v4 (16),1:23:51.160,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,Loro,,,,,
Angolo (25),1:24:03.760,0:00:08.000,23/01/2025,Angolo,giovi,ricky,digao,diego jr,azza,Loro,,,,,
5v4 (17),1:24:05.840,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,Loro,,,,,
Laterale (123),1:24:10.200,0:00:07.000,23/01/2025,Laterale,giovi,ricky,digao,diego jr,azza,Loro,0,,,,
5v4 (18),1:24:13.520,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,,,,,,
Tiro (83),1:24:15.840,0:00:07.000,23/01/2025,Tiro,giovi,ricky,digao,diego jr,azza,Loro,7,Fuori,Dx,,
Lancio (24),1:24:24.480,0:00:10.000,23/01/2025,Lancio,giovi,ricky,digao,diego jr,azza,Noi,,,,,
5v4 (19),1:24:37.360,0:00:10.000,23/01/2025,5v4,giovi,ricky,digao,diego jr,azza,Loro,,,,,
Tiro (84),1:24:45.400,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,azza,ricky,digao,Loro,9,Parata,Sx,,
Angolo (26),1:24:52.360,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,azza,ricky,digao,Loro,,,,,
Tiro (85),1:24:53.080,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,azza,ricky,digao,Loro,4,Ribattuto,Dx,,
Angolo (27),1:25:01.040,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,azza,ricky,digao,Loro,,,,,
Palla recuperata (35),1:25:03.560,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,azza,ricky,digao,,7,Fuori,,digao,
Laterale (124),1:25:06.000,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,azza,ricky,digao,Loro,7,,,,
Tiro (86),1:25:13.080,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,azza,ricky,digao,Loro,6,Ribattuto,Sx,,
Laterale (125),1:25:30.520,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,azza,ricky,digao,Loro,3,,,,
Palla recuperata (36),1:25:35.520,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,azza,ricky,digao,,7,Tiro,,digao,
Tiro (87),1:25:38.320,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,azza,ricky,digao,Loro,4,Fuori,Dx,,
Fine partita (1),1:25:49.080,0:00:10.000,23/01/2025,Fine partita,giovi,digao,ricky,azza,diego jr,,,,,,
