Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Squadra,Field Position,Esito,Piede,Chi,Casella di gruppo
Palla persa (2),0:13:32.120,0:00:10.000,23/01/2025,Palla persa,giovi,digao,erick,nico estratti,zanna,,0,Ripartenza,,nico estratti,
Tiro (10),0:13:37.200,0:00:07.000,23/01/2025,Tiro,giovi,digao,erick,nico estratti,zanna,Loro,6,Parata,Dx,,
Tiro (11),0:13:43.040,0:00:07.000,23/01/2025,Tiro,giovi,digao,erick,nico estratti,zanna,Loro,9,Parata,Sx,,
Laterale (20),0:13:55.400,0:00:07.000,23/01/2025,Laterale,giovi,digao,erick,nico estratti,zanna,Loro,0,,,,
Tiro (12),0:14:04.360,0:00:07.000,23/01/2025,Tiro,giovi,digao,erick,nico estratti,zanna,Loro,5,Parata,,,
Laterale (21),0:14:10.680,0:00:07.000,23/01/2025,Laterale,giovi,digao,erick,nico estratti,zanna,Noi,9,,,,
Tiro (13),0:14:20.600,0:00:07.000,23/01/2025,Tiro,giovi,digao,erick,nico estratti,zanna,Noi,6,Parata,Sx,nico estratti,
Palla recuperata (3),0:14:27.440,0:00:10.000,23/01/2025,Palla recuperata,giovi,digao,erick,nico estratti,zanna,,5,Fuori,,erick,
Laterale (22),0:14:39.440,0:00:07.000,23/01/2025,Laterale,giovi,digao,erick,nico estratti,zanna,,,,,,
Lancio (3),0:14:53.680,0:00:10.000,23/01/2025,Lancio,giovi,digao,erick,nico estratti,zanna,Noi,,Intercetto,,,
Laterale (23),0:15:09.360,0:00:07.000,23/01/2025,Laterale,giovi,digao,erick,nico estratti,zanna,Noi,0,,,,
Palla persa (3),0:15:18.320,0:00:10.000,23/01/2025,Palla persa,giovi,digao,erick,nico estratti,zanna,,,Fuori,,erick,
Palla recuperata (4),0:15:31.160,0:00:10.000,23/01/2025,Palla recuperata,giovi,digao,erick,nico estratti,zanna,,3,Tiro,,digao,
Tiro (14),0:15:32.960,0:00:07.000,23/01/2025,Tiro,giovi,digao,erick,nico estratti,zanna,Noi,5,Ribattuto,Dx,erick,
Laterale (24),0:16:04.880,0:00:07.000,23/01/2025,Laterale,giovi,zanna,fabri,ricky,diego jr,Loro,6,,,,
Palla recuperata (5),0:16:07.920,0:00:10.000,23/01/2025,Palla recuperata,giovi,zanna,fabri,ricky,diego jr,,8,Fuori,,zanna,
